Marca,Modelo,Año,Color,Combustible,Puertas,Caja,Motor,Carrocería,Kilómetros,Precio,Moneda,Año_zscore
Jeep,Compass,2013,Gris,Nafta,5,Automática,2.4,SUV,140000,3900000,pesos,-0.882147298727807
Ford,Focus III,2017,Azul,Nafta,5,Manual,1.6,Hatchback,46000,3750000,pesos,0.19825355703188235
Peugeot,308,2012,Gris,Nafta,5,Manual,1.6,Hatchback,139000,2650000,pesos,-1.1522475126677294
Toyota,SW4,2019,Blanco,Diésel,5,Automática,2.8,SUV,63000,58000,dólares,0.7384539849117271
Fiat,Toro,2018,Negro,Diésel,4,Manual,2.0,Pick-Up,59000,5200000,pesos,0.4683537709718047
Toyota,Etios,2018,Gris,Nafta,4,Manual,1.5,Sedán,64000,3800000,pesos,0.4683537709718047
Citroën,C4 Lounge,2017,Blanco,Nafta,4,Automática,1.6,Sedán,48000,3650000,pesos,0.19825355703188235
Peugeot,208,2019,Blanco,Nafta,5,Manual,1.6,Hatchback,48000,4599999,pesos,0.7384539849117271
Fiat,Punto,2013,Blanco,Nafta,5,Manual,1.4,Hatchback,93000,2280000,pesos,-0.882147298727807
Nissan,Kicks,2018,Gris,Nafta,5,Manual,1.6,Hatchback,53000,6489000,pesos,0.4683537709718047
Renault,Duster Oroch,2019,Blanco,Nafta,4,Manual,1.6,SUV,40000,4450000,pesos,0.7384539849117271
Volkswagen,Vento,2018,Blanco,Nafta,4,Manual,2.0,Sedán,44000,8490000,pesos,0.4683537709718047
Peugeot,208,2014,Rojo,Nafta,5,Manual,1.6,Hatchback,82000,3600000,pesos,-0.6120470847878846
Jeep,Compass,2018,Negro,Nafta,5,Manual,2.4,SUV,60000,6750000,pesos,0.4683537709718047
Renault,Kwid,2018,Naranja,Nafta,5,Manual,1.0,Hatchback,49000,2789900,pesos,0.4683537709718047
Ford,Ecosport,2014,Negro,Nafta,5,Manual,1.6,SUV,79000,3189900,pesos,-0.6120470847878846
Ford,Ka,2019,Blanco,Nafta/GNC,4,Manual,1.5,Sedán,59000,3189900,pesos,0.7384539849117271
Chevrolet,Spin,2014,Gris,Nafta,5,Automática,1.8,Monovolumen,140000,2950000,pesos,-0.6120470847878846
Fiat,Argo,2022,Blanco,Nafta,5,Manual,1.3,Hatchback,2000,4250000,pesos,1.548754626731494
Chevrolet,Spin,2016,Blanco,Nafta,5,Manual,1.8,Monovolumen,48000,3450000,pesos,-0.07184665690803997
Peugeot,208,2017,Plateado,Nafta,5,Manual,1.6,Hatchback,80000,4200500,pesos,0.19825355703188235
Peugeot,208,2019,Gris,Nafta,5,Manual,1.6,Hatchback,13000,4590000,pesos,0.7384539849117271
Ford,Focus III,2016,Gris,Nafta,5,Manual,2.0,Hatchback,86000,4237000,pesos,-0.07184665690803997
Citroën,C3,2014,Gris,Nafta,5,Manual,1.5,Hatchback,118000,2550000,pesos,-0.6120470847878846
Toyota,Hilux,2019,Gris,Diésel,4,Automática,2.8,Pick-Up,51700,11900000,pesos,0.7384539849117271
Ford,Focus II,2009,Dorado,Nafta,5,Manual,2.0,Hatchback,133000,2100500,pesos,-1.9625481544874963
Peugeot,2008,2020,Marrón,Nafta,5,Automática,1.6,SUV,26000,5650000,pesos,1.0085541988516493
Chevrolet,Onix,2020,Blanco,Nafta,5,Manual,1.4,Hatchback,25000,3500000,pesos,1.0085541988516493
Ford,Focus III,2018,Gris,Nafta,4,Automática,2.0,Sedán,55000,5289900,pesos,0.4683537709718047
Peugeot,208,2013,Negro,Nafta,5,Manual,1.5,Hatchback,110000,2350000,pesos,-0.882147298727807
Chevrolet,Onix,2018,Blanco,Nafta,5,Automática,1.4,Hatchback,40000,3800000,pesos,0.4683537709718047
Toyota,Yaris,2021,Blanco,Nafta,5,Automática,1.5,Hatchback,19000,5889900,pesos,1.2786544127915718
RAM,1500,2022,Gris,Nafta,4,Automática,5.7,Pick-Up,8300,78500,dólares,1.548754626731494
Volkswagen,Nivus,2021,Blanco,Nafta,5,Automática,1.0,SUV,34000,7550000,pesos,1.2786544127915718
Renault,Sandero,2018,Gris,Nafta,5,Manual,1.6,Hatchback,57000,3590000,pesos,0.4683537709718047
Renault,Duster Oroch,2021,Negro,Nafta,4,Manual,2.0,SUV,26000,6190000,pesos,1.2786544127915718
Renault,Sandero,2013,Negro,Nafta,5,Manual,1.6,Hatchback,83000,1610000,pesos,-0.882147298727807
Volkswagen,Gol Trend,2015,Plateado,Nafta,5,Manual,1.6,Hatchback,65500,1960000,pesos,-0.3419468708479623
Citroën,C4 Lounge,2014,Plateado,Nafta,4,Automática,1.6,Sedán,87000,2280000,pesos,-0.6120470847878846
Volkswagen,Vento,2015,Plateado,Nafta,4,Manual,2.0,Sedán,54500,2100000,pesos,-0.3419468708479623
Volkswagen,Up!,2018,Blanco,Nafta,5,Manual,1.0,Hatchback,79000,1650000,pesos,0.4683537709718047
Renault,Duster Oroch,2019,Blanco,Nafta,4,Manual,1.6,SUV,87000,3590000,pesos,0.7384539849117271
Ford,Focus III,2014,Plateado,Nafta,4,Manual,2.0,Sedán,57000,2150000,pesos,-0.6120470847878846
Honda,HR-V,2015,Plateado,Nafta,5,Automática,1.8,SUV,92000,3800000,pesos,-0.3419468708479623
Volkswagen,Gol,2012,Negro,Nafta,5,Manual,1.4,Hatchback,102000,1550000,pesos,-1.1522475126677294
Renault,Clio,2014,Blanco,Nafta,3,Manual,1.2,Hatchback,85000,1595000,pesos,-0.6120470847878846
Jeep,Renegade,2017,Gris,Nafta,5,Manual,1.8,SUV,52000,4700000,pesos,0.19825355703188235
Peugeot,2008,2016,Gris,Nafta,5,Manual,1.6,SUV,127000,2800000,pesos,-0.07184665690803997
Hyundai,H1,2015,Gris,Diésel,4,Automática,2.5,Monovolumen,8900,42900,dólares,-0.3419468708479623
Volkswagen,Vento,2017,Gris,Nafta,4,Manual,2.0,Sedán,54000,7500000,pesos,0.19825355703188235
Honda,CR-V,2016,Negro,Nafta,5,Automática,2.4,SUV,126000,6300000,pesos,-0.07184665690803997
Fiat,Palio,2016,Marrón,Nafta,5,Manual,1.6,Rural,59000,3450000,pesos,-0.07184665690803997
Ford,Ranger,2018,Gris,Diésel,4,Automática,3.2,Pick-Up,70000,9500500,pesos,0.4683537709718047
Chevrolet,Cruze,2014,Azul,Nafta,5,Automática,1.8,Hatchback,31000,3890000,pesos,-0.6120470847878846
Peugeot,2008,2017,Blanco,Nafta,5,Manual,1.6,SUV,78000,4200000,pesos,0.19825355703188235
Volkswagen,Amarok,2016,Negro,Diésel,4,Automática,2.0,Pick-Up,129000,6500000,pesos,-0.07184665690803997
Peugeot,408,2018,Plateado,Diésel,4,Manual,1.6,Sedán,59000,4289900,pesos,0.4683537709718047
Toyota,Hilux,2019,Gris,Diésel,4,Automática,2.8,Pick-Up,52000,12400000,pesos,0.7384539849117271
Peugeot,408,2018,Plateado,Diésel,4,Manual,1.6,Sedán,59000,4189900,pesos,0.4683537709718047
Peugeot,408,2016,Gris,Diésel,4,Manual,1.6,Sedán,115000,3650000,pesos,-0.07184665690803997
Honda,Civic,2017,Gris,Nafta,3,Automática,1.5,Hatchback,112000,6300000,pesos,0.19825355703188235
