Marca,Modelo,Año,Color,Combustible,Puertas,Caja,Motor,Carrocería,Kilómetros,Precio,Moneda,Año_zscore
Mitsubishi,L200,2016,Gris,Diésel,4,Manual,3.2,Pick-Up,181800,6490000,pesos,-0.07184665690803997
Citroën,C4 Spacetourer,2019,Blanco,Nafta,5,Automática,1.6,Monovolumen,60000,7190000,pesos,0.7384539849117271
Volkswagen,Saveiro,2020,Blanco,Nafta,2,Manual,1.6,Pick-Up,37000,4589900,pesos,1.0085541988516493
Citroën,DS4,2013,Blanco,Nafta,5,Automática,1.6,Hatchback,79100,3489900,pesos,-0.882147298727807
Toyota,Hilux,2017,Blanco,Diésel,4,Automática,2.8,Pick-Up,170000,8600000,pesos,0.19825355703188235
Mercedes-Benz,Clase C,2008,Plateado,Nafta,4,Automática,2.2,Sedán,250000,10599,dólares,-2.2326483684274185
Nissan,Sentra,2020,Blanco,Nafta,4,Automática,2.0,Sedán,30000,7950000,pesos,1.0085541988516493
Peugeot,308,2017,Azul,Nafta,5,Manual,1.6,Hatchback,42000,28500,dólares,0.19825355703188235
Peugeot,Expert,2014,Blanco,Diésel,3,Manual,2.0,Monovolumen,130000,3990000,pesos,-0.6120470847878846
Ford,Ecosport,2015,Plateado,Nafta,5,Manual,1.6,SUV,51000,3490000,pesos,-0.3419468708479623
Honda,Fit,2013,Blanco,Nafta,5,Manual,1.5,Hatchback,82012,3564000,pesos,-0.882147298727807
Peugeot,408,2013,Gris,Nafta,4,Manual,2.0,Sedán,129400,2890000,pesos,-0.882147298727807
Volkswagen,Vento,2011,Gris,Nafta,4,Automática,2.5,Sedán,89000,3449900,pesos,-1.4223477266076516
Volkswagen,Polo,2018,Gris,Nafta,5,Automática,1.6,Hatchback,109000,3789900,pesos,0.4683537709718047
Mercedes-Benz,Clase GLA,2015,Negro,Nafta,5,Automática,1.6,SUV,86000,34990,dólares,-0.3419468708479623
Volkswagen,Amarok,2018,Blanco,Diésel,4,Manual,2.0,Pick-Up,79000,7899900,pesos,0.4683537709718047
Honda,Fit,2013,Blanco,Nafta,5,Manual,1.5,Hatchback,82000,3150000,pesos,-0.882147298727807
Toyota,Etios,2017,Blanco,Nafta,5,Manual,1.5,Hatchback,84000,2950000,pesos,0.19825355703188235
Renault,Duster Oroch,2019,Blanco,Nafta,4,Manual,1.6,SUV,62000,4459900,pesos,0.7384539849117271
Chevrolet,Cruze,2014,Plateado,Nafta,4,Manual,1.8,Sedán,61000,3150000,pesos,-0.6120470847878846
Volkswagen,Vento,2012,Plateado,Nafta,4,Automática,2.0,Sedán,196000,13499,dólares,-1.1522475126677294
Volkswagen,Polo,2017,Gris,Nafta,4,Manual,1.6,Hatchback,49000,3485000,pesos,0.19825355703188235
Renault,Kwid,2020,Rojo,Nafta,5,Manual,1.0,Hatchback,39000,3189900,pesos,1.0085541988516493
Renault,Mégane III,2016,Azul,Nafta,4,Manual,1.6,Hatchback,69000,3289900,pesos,-0.07184665690803997
Toyota,Corolla Cross,2022,Negro,Híbrido/Nafta,5,Automática,1.8,SUV,2000,12490000,pesos,1.548754626731494
Peugeot,308,2012,Blanco,Nafta,5,Manual,1.6,Hatchback,79000,2689900,pesos,-1.1522475126677294
Toyota,Hilux,2020,Plateado,Diésel,4,Automática,2.8,Pick-Up,57700,35499,dólares,1.0085541988516493
Hyundai,Tucson,2011,Plateado,Nafta,5,Manual,2.0,SUV,137000,3489900,pesos,-1.4223477266076516
Ford,Focus III,2015,Blanco,Nafta,5,Automática,2.0,Hatchback,79000,3589900,pesos,-0.3419468708479623
Fiat,500,2014,Azul,Nafta,3,Manual,1.4,Hatchback,69000,2989900,pesos,-0.6120470847878846
Chevrolet,Trailblazer,2021,Gris,Diésel,5,Automática,2.8,SUV,23000,13949900,pesos,1.2786544127915718
Chevrolet,Onix,2016,Rojo,Nafta/GNC,5,Automática,1.4,Hatchback,60000,3189900,pesos,-0.07184665690803997
Subaru,XV,2011,Blanco,Nafta,5,Automática,2.0,Hatchback,204000,2500000,pesos,-1.4223477266076516
Fiat,Uno,2010,Rojo,Nafta,5,Manual,1.5,Hatchback,128000,1760000,pesos,-1.692447940547574
Toyota,Hilux,2019,Blanco,Diésel,4,Automática,2.8,Pick-Up,64000,12489000,pesos,0.7384539849117271
Jeep,Renegade,2017,Gris,Nafta,5,Automática,1.8,SUV,62000,5889000,pesos,0.19825355703188235
Toyota,RAV4,2010,Negro,Nafta,5,Automática,2.4,SUV,98000,3700000,pesos,-1.692447940547574
Chevrolet,Prisma,2017,Negro,Nafta/GNC,4,Manual,1.4,Sedán,69000,3089900,pesos,0.19825355703188235
Audi,A1,2016,Gris,Nafta,3,Automática,1.4,Hatchback,46000,6489900,pesos,-0.07184665690803997
Audi,A3 Sportback,2011,Blanco,Nafta,5,Automática,2.0,Hatchback,89000,4389900,pesos,-1.4223477266076516
Peugeot,308,2016,Blanco,Nafta,5,Manual,1.6,Hatchback,161000,2800000,pesos,-0.07184665690803997
Peugeot,208,2022,Negro,Nafta,5,Manual,1.6,Hatchback,500,4630000,pesos,1.548754626731494
Toyota,SW4,2011,Negro,Diésel,5,Manual,3.0,SUV,140000,26990,dólares,-1.4223477266076516
Volkswagen,Gol Trend,2013,Gris,Nafta,5,Manual,1.6,Hatchback,130000,8000,dólares,-0.882147298727807
Audi,A4,2011,Gris,Nafta,4,Automática,2.0,Sedán,99100,3989900,pesos,-1.4223477266076516
Renault,Logan,2016,Gris,Nafta,4,Manual,1.6,Sedán,37300,3050000,pesos,-0.07184665690803997
Honda,HR-V,2017,Blanco,Nafta,5,Automática,1.8,SUV,77000,7150000,pesos,0.19825355703188235
Volkswagen,Suran,2015,Plateado,Nafta,5,Manual,1.6,Monovolumen,65000,3450500,pesos,-0.3419468708479623
Ford,Fiesta Kinetic Design,2017,Plateado,Nafta,5,Manual,1.6,Hatchback,44000,3500000,pesos,0.19825355703188235
Volkswagen,Amarok,2019,Dorado,Diésel,4,Automática,2.0,Pick-Up,88000,8500000,pesos,0.7384539849117271
Chevrolet,Celta,2013,Gris,Nafta,3,Manual,1.4,Hatchback,109000,1690000,pesos,-0.882147298727807
Peugeot,408,2012,Gris,Nafta,4,Automática,1.6,Sedán,95000,2750000,pesos,-1.1522475126677294
Peugeot,3008,2020,Gris,Nafta,5,Automática,1.6,SUV,45800,10500000,pesos,1.0085541988516493
Chevrolet,Onix,2017,Negro,Nafta,5,Manual,1.4,Hatchback,112000,3250000,pesos,0.19825355703188235
Ford,Fiesta Kinetic Design,2013,Violeta,Nafta,5,Manual,1.6,Hatchback,79000,2649900,pesos,-0.882147298727807
Toyota,Hilux,2019,Gris,Diésel,4,Automática,2.8,Pick-Up,51600,11900000,pesos,0.7384539849117271
Toyota,Corolla,2019,Marrón,Nafta,4,Automática,1.8,Sedán,49000,6690000,pesos,0.7384539849117271
Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5,Automática,1.4,SUV,48700,10900000,pesos,1.2786544127915718
Volkswagen,Saveiro,2019,Gris,Nafta,2,Manual,1.6,Pick-Up,86000,5099999,pesos,0.7384539849117271
Citroën,C3,2017,Blanco,Nafta,5,Manual,1.5,Hatchback,96400,3290000,pesos,0.19825355703188235
Ford,Focus III,2017,Rojo,Nafta,5,Automática,2.0,Hatchback,26000,5390000,pesos,0.19825355703188235
Citroën,C3,2014,Blanco,Nafta,5,Manual,1.6,Hatchback,119000,2550000,pesos,-0.6120470847878846
Peugeot,308,2014,Blanco,Nafta,5,Manual,1.6,Hatchback,74000,2990000,pesos,-0.6120470847878846
Volkswagen,Gol Trend,2018,Gris,Nafta,5,Manual,1.6,Hatchback,55000,3300000,pesos,0.4683537709718047
Chevrolet,Tracker,2017,Gris,Nafta,5,Automática,1.8,SUV,41000,4690000,pesos,0.19825355703188235
Renault,Duster,2019,Plateado,Nafta,5,Manual,1.6,SUV,59000,5099999,pesos,0.7384539849117271
Volkswagen,Gol Trend,2018,Gris,Nafta,5,Manual,1.6,Hatchback,55000,3299999,pesos,0.4683537709718047
Ford,Ranger,2021,Gris,Diésel,4,Automática,3.2,Pick-Up,61000,11850000,pesos,1.2786544127915718
Chevrolet,S10,2016,Blanco,Diésel,4,Manual,2.8,Pick-Up,152000,4900000,pesos,-0.07184665690803997
Toyota,Corolla,2021,Negro,Nafta,4,Automática,1.8,Sedán,29200,7300000,pesos,1.2786544127915718
Renault,Sandero,2020,Blanco,Nafta,5,Automática,1.6,Hatchback,62400,3900000,pesos,1.0085541988516493
Peugeot,5008,2018,Gris,Nafta,5,Manual,1.6,Monovolumen,52000,8500000,pesos,0.4683537709718047
Mercedes-Benz,Clase C,2009,Azul,Nafta,4,Automática,3.0,Sedán,105000,14500,dólares,-1.9625481544874963
Mercedes-Benz,Clase GLA,2017,Gris,Nafta,5,Automática,1.6,SUV,60000,43990,dólares,0.19825355703188235
Ford,Fiesta Kinetic Design,2019,Plateado,Nafta/GNC,5,Manual,1.6,Hatchback,38000,4000000,pesos,0.7384539849117271
Volkswagen,Up!,2016,Gris,Nafta,3,Manual,1.0,Hatchback,25000,3000000,pesos,-0.07184665690803997
RAM,1500,2022,Gris,Nafta,4,Automática,5.7,Pick-Up,8000,77500,dólares,1.548754626731494
Jeep,Renegade,2020,Blanco,Nafta,5,Automática,1.8,SUV,40000,7390000,pesos,1.0085541988516493
BMW,Serie 2,2021,Celeste,Nafta,2,Automática,3.0,Coupé,2500,89990,dólares,1.2786544127915718
Volkswagen,Vento,2018,Blanco,Nafta,4,Manual,2.0,Sedán,44000,8500000,pesos,0.4683537709718047
Volkswagen,Golf,2016,Blanco,Nafta,5,Automática,2.0,Hatchback,41100,33999,dólares,-0.07184665690803997
BMW,Serie 3,2009,Gris,Nafta,2,Manual,2.5,Coupé,79700,5480000,pesos,-1.9625481544874963
Citroën,C4 Lounge,2018,Blanco,Diésel,4,Manual,1.6,Sedán,48000,4400000,pesos,0.4683537709718047
Volkswagen,Amarok,2018,Plateado,Diésel,4,Automática,2.0,Pick-Up,50000,8250000,pesos,0.4683537709718047
Volkswagen,Sharan,2014,Gris,Nafta,5,Automática,2.0,Monovolumen,66000,7500000,pesos,-0.6120470847878846
Volkswagen,Vento,2015,Blanco,Nafta,4,Automática,2.5,Sedán,98000,5800000,pesos,-0.3419468708479623
Citroën,DS3,2012,Gris,Nafta,3,Manual,1.6,Hatchback,95000,2750000,pesos,-1.1522475126677294
Chevrolet,Prisma,2013,Celeste,Nafta,4,Manual,1.4,Sedán,64000,2700000,pesos,-0.882147298727807
Mercedes-Benz,Sprinter,2018,Blanco,Diésel,2,Manual,2.1,Minivan,242000,9250000,pesos,0.4683537709718047
Renault,Fluence,2013,Dorado,Nafta,4,Manual,1.6,Sedán,45000,2440000,pesos,-0.882147298727807
Renault,Clio,2016,Gris,Nafta,5,Manual,1.2,Hatchback,89100,2189900,pesos,-0.07184665690803997
Toyota,Etios,2017,Blanco,Nafta,5,Manual,1.5,Hatchback,85400,2977000,pesos,0.19825355703188235
Volkswagen,Polo,2021,Blanco,Nafta,5,Automática,1.4,Hatchback,10900,26990,dólares,1.2786544127915718
Ford,Ranger,2007,Blanco,Diésel,2,Manual,3.0,Pick-Up,178000,3150000,pesos,-2.502748582367341
Volkswagen,Gol Trend,2016,Blanco,Nafta,5,Manual,1.6,Hatchback,96133,3000000,pesos,-0.07184665690803997
Citroën,C4 Lounge,2016,Gris,Nafta,4,Automática,1.6,Sedán,76916,3000000,pesos,-0.07184665690803997
Fiat,Toro,2017,Plateado,Diésel,4,Automática,2.0,Pick-Up,108933,6000000,pesos,0.19825355703188235
Chery,Tiggo 3,2017,Gris,Nafta,5,Manual,1.6,SUV,71239,3300000,pesos,0.19825355703188235
Renault,Fluence,2016,Blanco,Nafta,4,Manual,1.6,Sedán,98700,2600000,pesos,-0.07184665690803997
Citroën,Jumpy,2022,Gris,Diésel,3,Manual,1.6,Furgón,1000,8700000,pesos,1.548754626731494
Ford,Ka,2018,Rojo,Nafta,5,Manual,1.5,Hatchback,37000,3280000,pesos,0.4683537709718047
Renault,Kangoo,2021,Gris,Nafta,3,Manual,1.6,Furgón,23000,4690000,pesos,1.2786544127915718
Suzuki,Swift,2009,Gris,Nafta,5,Manual,1.5,Hatchback,190000,1895000,pesos,-1.9625481544874963
Ford,Focus III,2017,Blanco,Nafta,5,Automática,2.0,Hatchback,44500,4350000,pesos,0.19825355703188235
Toyota,Hilux,2021,Gris,Diésel,4,Automática,2.8,Pick-Up,28000,11200000,pesos,1.2786544127915718
Volkswagen,Taos,2022,Gris,Nafta,5,Automática,1.4,SUV,1011,11890000,pesos,1.548754626731494
Renault,Sandero,2020,Gris,Nafta,5,Manual,1.6,Hatchback,22000,4200000,pesos,1.0085541988516493
Hyundai,Creta,2019,Blanco,Nafta,5,Automática,1.6,SUV,55000,5890000,pesos,0.7384539849117271
Ford,Focus III,2018,Blanco,Nafta,4,Manual,1.6,Sedán,46000,4200000,pesos,0.4683537709718047
Dodge,Journey,2018,Negro,Nafta,5,Manual,3.6,SUV,60000,8990000,pesos,0.4683537709718047
BMW,Serie 1,2008,Gris,Nafta,5,Manual,1.6,Hatchback,121000,3000000,pesos,-2.2326483684274185
RAM,1500,2022,Blanco,Nafta,4,Automática,5.7,Pick-Up,4700,77500,dólares,1.548754626731494
Renault,Captur,2018,Naranja,Nafta,5,Manual,2.0,SUV,61000,4690000,pesos,0.4683537709718047
Volkswagen,Golf,2019,Blanco,Nafta,5,Automática,2.0,Hatchback,58000,11195000,pesos,0.7384539849117271
Jeep,Renegade,2018,Azul,Nafta,5,Automática,1.8,SUV,62000,5990000,pesos,0.4683537709718047
Volkswagen,Amarok,2015,Blanco,Diésel,4,Manual,2.0,Pick-Up,115000,5450500,pesos,-0.3419468708479623
Ford,F-100,1997,Gris,Diésel,2,Manual,2.5,Pick-Up,335000,16300,dólares,-5.203750721766564
Honda,Fit,2019,Blanco,Nafta,5,Automática,1.5,Hatchback,28000,6190000,pesos,0.7384539849117271
Hyundai,Santa Fe,2017,Gris,Nafta,5,Automática,2.4,SUV,90000,7890000,pesos,0.19825355703188235
Jeep,Compass,2020,Gris,Nafta,5,Manual,2.4,SUV,6000,9590000,pesos,1.0085541988516493
Toyota,Corolla,2022,Blanco,Híbrido/Nafta,4,Automática,1.8,Sedán,1111,36990,dólares,1.548754626731494
Ford,Territory,2022,Dorado,Nafta,5,Automática,1.5,SUV,1000,10400000,pesos,1.548754626731494
Renault,Clio,2012,Negro,Nafta,5,Manual,1.2,Hatchback,122000,1950000,pesos,-1.1522475126677294
Volkswagen,Amarok,2022,Blanco,Diésel,4,Automática,3.0,Pick-Up,500,14299000,pesos,1.548754626731494
Fiat,500X,2019,Gris,Nafta,5,Automática,1.4,SUV,60900,26500,dólares,0.7384539849117271
Renault,Captur,2019,Blanco,Nafta,5,Automática,1.6,SUV,73000,4990000,pesos,0.7384539849117271
Kia,Cerato,2020,Blanco,Nafta,4,Automática,2.0,Sedán,86000,5990000,pesos,1.0085541988516493
Peugeot,208,2015,Blanco,Nafta,5,Manual,1.5,Hatchback,71000,2689000,pesos,-0.3419468708479623
Renault,Kangoo,2011,Gris,Nafta,4,Automática,1.6,Monovolumen,39000,2700000,pesos,-1.4223477266076516
Kia,Soul,2016,Azul,Nafta,5,Automática,1.6,SUV,126000,13900,dólares,-0.07184665690803997
Volkswagen,Amarok,2014,Gris,Diésel,4,Automática,2.0,Pick-Up,125000,7040000,pesos,-0.6120470847878846
Volkswagen,Voyage,2017,Gris,Nafta,4,Manual,1.6,Sedán,83000,3400000,pesos,0.19825355703188235
Chevrolet,Prisma,2015,Blanco,Nafta,4,Manual,1.4,Sedán,126000,2900000,pesos,-0.3419468708479623
Chevrolet,Sonic,2013,Gris,Nafta,5,Manual,1.6,Hatchback,102000,2500000,pesos,-0.882147298727807
Volkswagen,Bora,2011,Negro,Nafta,4,Manual,2.0,Sedán,168200,2090000,pesos,-1.4223477266076516
Chevrolet,Tracker,2017,Plateado,Nafta,5,Automática,1.8,SUV,45100,4700000,pesos,0.19825355703188235
Ford,Ranger Raptor,2022,Blanco,Diésel,4,Automática,2.0,Pick-Up,1111,65900,dólares,1.548754626731494
RAM,1500,2022,Blanco,Nafta,4,Automática,5.7,Pick-Up,4700,77490,dólares,1.548754626731494
Ford,Focus III,2017,Gris,Nafta,5,Automática,2.0,Hatchback,75000,16500,dólares,0.19825355703188235
Volkswagen,Suran Cross,2014,Gris,Nafta,5,Manual,1.6,Monovolumen,120000,2990000,pesos,-0.6120470847878846
Peugeot,308,2012,Blanco,Nafta,5,Manual,1.6,Hatchback,136000,2850000,pesos,-1.1522475126677294
Peugeot,2008,2019,Blanco,Nafta,5,Manual,1.6,SUV,29530,5050000,pesos,0.7384539849117271
Chevrolet,Onix,2018,Gris,Nafta,5,Manual,1.4,Hatchback,28300,3800000,pesos,0.4683537709718047
Honda,HR-V,2018,Gris,Nafta,5,Automática,1.8,SUV,99700,6700000,pesos,0.4683537709718047
Volkswagen,T-Cross,2019,Rojo,Nafta,5,Manual,1.6,SUV,69100,4989900,pesos,0.7384539849117271
Volkswagen,T-Cross,2019,Gris,Nafta,5,Manual,1.6,SUV,30000,6290000,pesos,0.7384539849117271
Volkswagen,Amarok,2018,Azul,Diésel,4,Manual,2.0,Pick-Up,99100,7789900,pesos,0.4683537709718047
Mercedes-Benz,Clase A,2017,Plateado,Nafta,5,Manual,1.6,Hatchback,59000,31000,dólares,0.19825355703188235
Chevrolet,S10,2016,Blanco,Diésel,4,Manual,2.8,Pick-Up,143000,5890000,pesos,-0.07184665690803997
Volkswagen,Amarok,2018,Blanco,Diésel,4,Manual,2.0,Pick-Up,79000,7889900,pesos,0.4683537709718047
Hyundai,Tucson,2011,Gris,Nafta,5,Manual,2.0,SUV,137000,3489900,pesos,-1.4223477266076516
BMW,Serie 2,2021,Azul,Nafta,2,Automática,2.0,Coupé,4100,79000,dólares,1.2786544127915718
Mercedes-Benz,Clase A,2017,Blanco,Nafta,5,Automática,2.0,Hatchback,12000,46999,dólares,0.19825355703188235
Fiat,Toro,2017,Plateado,Diésel,4,Manual,2.0,Pick-Up,65000,4490000,pesos,0.19825355703188235
Toyota,Corolla,2019,Blanco,Nafta,4,Automática,1.8,Sedán,31000,6200000,pesos,0.7384539849117271
Ford,F-150,2020,Blanco,Diésel,4,Automática,2.0,Pick-Up,52900,128000,dólares,1.0085541988516493
BMW,Serie 2,2021,Azul,Nafta,2,Automática,3.0,Coupé,2500,90000,dólares,1.2786544127915718
Audi,S3,2018,Azul,Nafta,3,Automática,2.0,Hatchback,25500,68000,dólares,0.4683537709718047
Audi,R8 Coupé,2011,Blanco,Nafta,2,Automática,5.2,Coupé,19200,235000,dólares,-1.4223477266076516
Citroën,C4 Lounge,2016,Blanco,Nafta,4,Automática,1.6,Sedán,100000,3280000,pesos,-0.07184665690803997
Honda,HR-V,2020,Blanco,Nafta,5,Automática,1.8,SUV,20000,30000,dólares,1.0085541988516493
Toyota,Corolla,2019,Blanco,Nafta,4,Automática,1.8,Sedán,31000,6199999,pesos,0.7384539849117271
Volkswagen,Vento,2014,Gris,Nafta,4,Automática,2.0,Sedán,119000,15000,dólares,-0.6120470847878846
Chevrolet,Tracker,2017,Blanco,Nafta,5,Manual,1.8,SUV,47000,4739600,pesos,0.19825355703188235
Ford,Focus III,2019,Blanco,Nafta/GNC,4,Manual,1.6,Sedán,57000,4150000,pesos,0.7384539849117271
Renault,Sandero,2017,Blanco,Nafta,5,Manual,1.6,Hatchback,120000,2550000,pesos,0.19825355703188235
Volkswagen,Gol Trend,2016,Gris,Nafta,5,Manual,1.6,Hatchback,82000,2800000,pesos,-0.07184665690803997
Chevrolet,Onix,2015,Gris,Nafta,5,Automática,1.4,Hatchback,67000,3150000,pesos,-0.3419468708479623
BMW,Serie 3,2008,Negro,Nafta,2,Manual,3.0,Coupé,91400,24800,dólares,-2.2326483684274185
Volkswagen,Gol,2014,Gris,Nafta,5,Manual,1.4,Hatchback,43000,2050000,pesos,-0.6120470847878846
Honda,CR-V,2016,Negro,Nafta,5,Automática,2.4,SUV,62000,34900,dólares,-0.07184665690803997
Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5,Automática,1.4,SUV,48500,10900000,pesos,1.2786544127915718
Chevrolet,Meriva,2012,Gris,Nafta/GNC,5,Manual,1.8,Monovolumen,98000,2050000,pesos,-1.1522475126677294
Jeep,Compass,2019,Blanco,Nafta,5,Automática,2.4,SUV,36000,8300000,pesos,0.7384539849117271
Chevrolet,Onix,2016,Rojo,Nafta,5,Manual,1.4,Hatchback,60000,3189900,pesos,-0.07184665690803997
Jeep,Compass,2019,Blanco,Nafta,5,Manual,2.4,SUV,36000,8300000,pesos,0.7384539849117271
Chevrolet,Corsa,2008,Plateado,Nafta,3,Manual,1.6,Hatchback,150000,1200000,pesos,-2.2326483684274185
Ford,Territory,2022,Blanco,Nafta,5,Automática,1.5,SUV,1000,11400000,pesos,1.548754626731494
Peugeot,308,2014,Gris,Nafta,5,Automática,1.6,Hatchback,118000,3600000,pesos,-0.6120470847878846
Citroën,C4 Cactus,2018,Negro,Nafta,5,Automática,1.2,SUV,39600,4700000,pesos,0.4683537709718047
Chevrolet,Prisma,2016,Negro,Nafta,4,Manual,1.4,Sedán,70943,2800000,pesos,-0.07184665690803997
Renault,Captur,2017,Blanco,Nafta,5,Automática,2.0,SUV,42800,4600000,pesos,0.19825355703188235
Citroën,Berlingo,2015,Gris,Diésel,5,Manual,1.6,Monovolumen,134545,3800000,pesos,-0.3419468708479623
Mini,Cooper Countryman,2014,Azul,Nafta,5,Automática,1.6,Hatchback,119000,19500,dólares,-0.6120470847878846
Ford,Ranger,2020,Blanco,Diésel,4,Manual,2.2,Pick-Up,127000,6646000,pesos,1.0085541988516493
Chevrolet,Prisma,2019,Negro,Nafta/GNC,4,Manual,1.4,Sedán,83000,3355000,pesos,0.7384539849117271
Ford,Ka,2016,Rojo,Nafta,5,Manual,1.5,Hatchback,61000,2800000,pesos,-0.07184665690803997
Volkswagen,Vento,2018,Gris,Nafta,4,Manual,2.0,Sedán,120000,7100000,pesos,0.4683537709718047
Chevrolet,Celta,2014,Negro,Nafta/GNC,5,Manual,1.4,Hatchback,69000,2165000,pesos,-0.6120470847878846
Volkswagen,Tiguan,2012,Gris,Nafta,5,Automática,2.0,SUV,148000,4890000,pesos,-1.1522475126677294
Toyota,SW4,2016,Blanco,Diésel,5,Automática,2.8,SUV,73000,41990,dólares,-0.07184665690803997
RAM,1500,2017,Gris,Nafta,4,Automática,5.7,Pick-Up,79100,11989900,pesos,0.19825355703188235
Volvo,C30,2008,Negro,Nafta,5,Manual,2.0,Hatchback,173000,8900,dólares,-2.2326483684274185
DS,DS3 Crossback,2021,Azul,Nafta,5,Automática,1.2,Hatchback,15100,10359900,pesos,1.2786544127915718
Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5,Automática,1.4,SUV,48750,10900000,pesos,1.2786544127915718
Volvo,960,1995,Gris,Nafta,5,Manual,3.0,Rural,125000,10000,dólares,-5.743951149646409
DS,DS3 Crossback,2021,Verde,Nafta,5,Automática,1.2,Hatchback,15000,10359900,pesos,1.2786544127915718
Volkswagen,Amarok,2016,Azul,Diésel,4,Manual,2.0,Pick-Up,215000,23000,dólares,-0.07184665690803997
Ford,Ka,2011,Gris,Nafta,3,Manual,1.6,Hatchback,97000,1698000,pesos,-1.4223477266076516
Volkswagen,Amarok,2016,Negro,Diésel,4,Manual,2.0,Pick-Up,135000,7390000,pesos,-0.07184665690803997
Volkswagen,Tiguan,2009,Plateado,Diésel,5,Automática,2.0,SUV,170000,13500,dólares,-1.9625481544874963
Ford,Territory,2022,Blanco,Nafta,5,Automática,1.5,SUV,10897,9300000,pesos,1.548754626731494
Ford,Ecosport,2017,Gris,Nafta,5,Manual,1.6,SUV,74000,3790000,pesos,0.19825355703188235
Volkswagen,T-Cross,2019,Gris,Nafta,5,Automática,1.6,SUV,88000,5890000,pesos,0.7384539849117271
Jeep,Patriot,2012,Negro,Nafta,5,Manual,2.0,SUV,119000,15990,dólares,-1.1522475126677294
Volkswagen,Nivus,2021,Gris,Nafta,5,Automática,1.0,SUV,10000,24500,dólares,1.2786544127915718
Volkswagen,T-Cross,2019,Violeta,Nafta,5,Manual,1.6,SUV,69000,4989900,pesos,0.7384539849117271
Toyota,RAV4,2017,Gris,Nafta,5,Automática,2.5,SUV,83100,9900000,pesos,0.19825355703188235
Toyota,Corolla,2021,Negro,Nafta,4,Automática,1.8,Sedán,29120,7250000,pesos,1.2786544127915718
Renault,Duster,2018,Blanco,Nafta/GNC,5,Manual,1.6,SUV,111000,4100000,pesos,0.4683537709718047
Chevrolet,Cruze II,2016,Blanco,Nafta,4,Manual,1.4,Sedán,63000,4100000,pesos,-0.07184665690803997
Jeep,Compass,2022,Plateado,Nafta,5,Automática,1.3,SUV,1800,9900000,pesos,1.548754626731494
Mercedes-Benz,Sprinter,2015,Blanco,Diésel,2,Manual,2.1,Furgón,179100,6589900,pesos,-0.3419468708479623
BMW,Serie 3,2008,Gris,Nafta,4,Manual,2.0,Sedán,73000,14500,dólares,-2.2326483684274185
Renault,Fluence,2011,Gris,Nafta,4,Manual,1.6,Sedán,89000,2400000,pesos,-1.4223477266076516
Jeep,Compass,2017,Blanco,Nafta,5,Automática,2.4,SUV,41000,30990,dólares,0.19825355703188235
Audi,R8 Coupé,2020,Azul,Nafta,2,Automática,5.2,Coupé,3000,430000,dólares,1.0085541988516493
Mitsubishi,Outlander,2012,Negro,Nafta,5,Automática,2.4,SUV,168000,13499,dólares,-1.1522475126677294
Citroën,DS4,2012,Gris,Nafta,5,Automática,1.6,Hatchback,86000,3600000,pesos,-1.1522475126677294
Chevrolet,Prisma,2017,Blanco,Nafta,4,Manual,1.4,Sedán,121000,3350000,pesos,0.19825355703188235
Renault,Duster,2013,Gris,Nafta,5,Manual,1.6,SUV,106000,2650000,pesos,-0.882147298727807
Renault,Duster Oroch,2019,Blanco,Nafta,5,Manual,2.0,SUV,28000,5350000,pesos,0.7384539849117271
Peugeot,504,1996,Gris,Diésel,4,Manual,2.3,Sedán,99000,1950000,pesos,-5.473850935706487
Toyota,Corolla,2017,Plateado,Nafta,4,Automática,1.8,Sedán,55000,5650000,pesos,0.19825355703188235
Citroën,Aircross,2018,Blanco,Nafta,5,Automática,1.6,Hatchback,67000,3600000,pesos,0.4683537709718047
Chevrolet,Tracker,2022,Blanco,Nafta,5,Manual,1.2,SUV,1400,6790000,pesos,1.548754626731494
Renault,Logan,2014,Negro,Nafta,4,Manual,1.6,Sedán,86000,1860000,pesos,-0.6120470847878846
Toyota,Yaris,2019,Blanco,Nafta,4,Automática,1.5,Sedán,35000,4800000,pesos,0.7384539849117271
Fiat,Cronos,2021,Gris,Nafta,4,Manual,1.3,Sedán,21000,4190000,pesos,1.2786544127915718
Peugeot,2008,2017,Gris,Nafta,5,Manual,1.6,SUV,70000,3400000,pesos,0.19825355703188235
Toyota,Hilux,2022,Gris,Diésel,4,Automática,2.8,Pick-Up,18000,39990,dólares,1.548754626731494
Toyota,Corolla,2013,Plateado,Nafta,4,Manual,1.8,Sedán,143000,2790000,pesos,-0.882147298727807
Chevrolet,Tracker,2020,Plateado,Nafta,5,Automática,1.2,SUV,37000,8900000,pesos,1.0085541988516493
Citroën,Berlingo,2009,Plateado,Nafta,5,Manual,1.4,Furgón,220000,1990000,pesos,-1.9625481544874963
Dodge,Journey,2018,Negro,Nafta,5,Manual,3.6,SUV,41800,9100000,pesos,0.4683537709718047
Chevrolet,Onix,2016,Plateado,Nafta,5,Manual,1.4,Hatchback,58500,3075000,pesos,-0.07184665690803997
Ford,Ka,2018,Blanco,Nafta,5,Manual,1.5,Hatchback,30000,3290000,pesos,0.4683537709718047
